list_name,name,label,dis_filter
cadas,LBN54001,Aaba - عبا الكورة,LBD0011
cadas,LBN320001,Aabadiye - عبادية,LBD0003
cadas,LBN44001,Aabba - عبا,LBD0014
cadas,LBN63001,Aabbassiye - عباسية,LBD0022
cadas,LBN52001,Aabdelle - عبدللي,LBD0009
cadas,LBN36001,Aabdine - عبدين نقاش,LBD0012
cadas,LBN53001,Aabdine Bcharre - عبدين بشري,LBD0005
cadas,LBN34001,Aabeidat - عبيدات,LBD0016
cadas,LBN31001,Aabey - عبيه,LBD0002
cadas,LBN34002,Aaboud - عبود,LBD0016
cadas,LBN61001,Aabra - عبرا,LBD0021
cadas,LBN35001,Aabri - عبري,LBD0018
cadas,LBN52002,Aabrine - عبرين,LBD0009
cadas,LBN57001,Aachach - عشاش,LBD0026
cadas,LBN35002,Aachqout - عشقوت,LBD0018
cadas,LBN43001,Aadaisse - عديسة مرجعيون,LBD0019
cadas,LBN44002,Aadchit ech Chqif - عدشيت الشقيف,LBD0014
cadas,LBN43002,Aadchit el Qoussair - عدشيت القصير,LBD0019
cadas,LBN61002,Aaddoussiye - عدّوسية,LBD0021
cadas,LBN61003,Aadloun - عدلون,LBD0021
cadas,LBN11001,Aadlyeh - العدلية,LBD0006
cadas,LBN55001,Aadoui - عدوة,LBD0013
cadas,LBN51001,Aadouiye - عدوي,LBD0001
cadas,LBN62067,Aadour - عاضور,LBD0017
cadas,LBN21173,Aadous - عدّوس,LBD0004
cadas,LBN36002,Aafs - عفص,LBD0012
cadas,LBN34067,Aafs jbeil - عفص,LBD0016
cadas,LBN35003,Aafs kesrwane - عفص كسروان,LBD0018
cadas,LBN54002,Aafsdiq - عفصديق,LBD0011
cadas,LBN62001,Aaichiye - عيشية,LBD0017
cadas,LBN51002,Aaidamoun - عيدمون,LBD0001
cadas,LBN23001,Aaiha - عيحا,LBD0020
cadas,LBN34004,Aainat - عينات,LBD0016
cadas,LBN41001,Aainata - عيناتا بنت جبيل,LBD0007
cadas,LBN36003,Aairoun - عيرون,LBD0012
cadas,LBN41003,Aaitaroun - عيترون,LBD0007
cadas,LBN63002,Aaitit - عيتيت,LBD0022
cadas,LBN51003,Aaiyat - عيات,LBD0001
cadas,LBN35004,Aajaltoun - عجلتون,LBD0018
cadas,LBN51004,Aakkar El Attiqa - عكار العتيقة,LBD0001
cadas,LBN52003,Aalali - علالي,LBD0009
cadas,LBN31002,Aaley ej Jdide - عاليه الجديدة,LBD0002
cadas,LBN25001,Aali en Nahri - علي النهري,LBD0025
cadas,LBN44003,Aali et Taher - علي الطاهر,LBD0014
cadas,LBN34005,Aalita - عاليتا,LBD0016
cadas,LBN21001,Aallaq - علاق,LBD0004
cadas,LBN57002,Aalma - علما,LBD0026
cadas,LBN63003,Aalma ech Chaab - علما الشعب,LBD0022
cadas,LBN43003,Aalmane - علمانة,LBD0019
cadas,LBN33001,Aalmane Ech Chouf - علمان الشوف,LBD0008
cadas,LBN51260,Aamara - عماره,LBD0001
cadas,LBN34006,Aamchit - عمشيت,LBD0016
cadas,LBN21009,Aamchki - عمشكي,LBD0004
cadas,LBN36004,Aammariye - عمّارية,LBD0012
cadas,LBN33002,Aammatour - عمّاطور,LBD0008
cadas,LBN24001,Aammiq - عميق,LBD0024
cadas,LBN33003,Aammiq chouf - عميق الشوف,LBD0008
cadas,LBN43005,Aamra - عمرة,LBD0019
cadas,LBN63004,Aamrane - عمران,LBD0022
cadas,LBN31003,Aamroussieh Choueifat - عمروسية الشويفات,LBD0002
cadas,LBN24002,Aana - عانا,LBD0024
cadas,LBN34007,Aannaya - عنَايا,LBD0016
cadas,LBN33004,Aanout - عانوت,LBD0008
cadas,LBN61004,Aanqoun - عنقون,LBD0021
cadas,LBN34008,Aaouaini - عويني,LBD0016
cadas,LBN51009,Aaouinat - العوينات,LBD0001
cadas,LBN52004,Aaoura - عورا البترون,LBD0009
cadas,LBN22001,Aaqabe - عقبة,LBD0010
cadas,LBN23002,Aaqbe - عقبة راشيّا,LBD0020
cadas,LBN36005,Aaqbe Zalqa - عقبة الزلقا,LBD0012
cadas,LBN57003,Aaqbet Sibaal - عقبة سبعل,LBD0026
cadas,LBN61005,Aaqbiye - العاقبية,LBD0021
cadas,LBN33005,Aaqline - عقلين,LBD0008
cadas,LBN62113,Aaqmata - عقماتا,LBD0017
cadas,LBN34009,Aaqoura - عاقورة,LBD0016
cadas,LBN61006,Aaqtanit - عقتنيت,LBD0021
cadas,LBN36006,Aaraar - عرعار,LBD0012
cadas,LBN34217,Aarab el Lahib - عرب اللهيب,LBD0016
cadas,LBN43004,Aarab el Louaize - عرب اللويزة,LBD0019
cadas,LBN51010,Aarab Jourmnaya - جرمنايا,LBD0001
cadas,LBN35005,Aarabe Ghosta - عربة غوسطا,LBD0018
cadas,LBN31005,Aaramoun - عرمون,LBD0002
cadas,LBN35006,Aaramoun Kesrwane - عرمون كسروان,LBD0018
cadas,LBN62002,Aaramta - عرمتى,LBD0017
cadas,LBN34010,Aarasta - عرستا,LBD0016
cadas,LBN320002,Aarbaniye - عربانية,LBD0003
cadas,LBN57004,Aarbet Qozhaiya - عربة قزحيا,LBD0026
cadas,LBN57005,Aardat - عردات,LBD0026
cadas,LBN51011,Aarida - عريضا,LBD0001
cadas,LBN62003,Aariye - عاريه,LBD0017
cadas,LBN57006,Aarjess - عرجس,LBD0026
cadas,LBN51078,Aarmeh - عرمه,LBD0001
cadas,LBN61007,Aarnaba - عرنابة,LBD0021
cadas,LBN44007,Aarnoun - أرنون,LBD0014
